keynumber,comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,overs,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text
1,110,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,1,0,"Shaheen Shah Afridi to Rahul, no run",0,0,0,422108,KL Rahul,0,1,1072470,Shaheen Shah Afridi,0.1,0,0,0,34102,Rohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length and just outside off, not too much movement on that one, gets forward and pats it into the off side off the middle"
2,110,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,1,0,"Shaheen Shah Afridi to Rahul, no run",0,0,0,422108,KL Rahul,0,1,1072470,Shaheen Shah Afridi,0.1,0,0,0,34102,Rohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length and just outside off, not too much movement on that one, gets forward and pats it into the off side off the middle"
3,120,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,2,0,"Shaheen Shah Afridi to Rahul, no run",0,0,0,422108,KL Rahul,0,2,1072470,Shaheen Shah Afridi,0.2,0,0,0,34102,Rohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length and a hint of shape inwards this time, Rahul leans into a cover drive but this nips back in and goes off the sticker"
4,130,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,3,1,"Shaheen Shah Afridi to Rahul, 1 run",0,0,0,422108,KL Rahul,1,3,1072470,Shaheen Shah Afridi,0.3,0,1,0,34102,Rohit Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length at middle stump, closes the face and turns it into the leg side"
5,140,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,4,0,"Shaheen Shah Afridi to Sharma, OUT",0,0,0,34102,Rohit Sharma,0,1,1072470,Shaheen Shah Afridi,0.4,0,1,1,422108,KL Rahul,1,3,0,0,0,0,0,0,34102,Rohit Sharma,Shaheen Shah Afridi,0,1,RG Sharma lbw b Shaheen Shah Afridi 0 (6m 1b 0x4 0x6) SR: 0.00,0,"<b>bang on the money!</b> Peak Shaheen. What a bowler. This is yorker length, marginal bend inwards, nothing exagerrated. But the direction on this and the pace on it have given Rohit no chance. He's hurriedly getting the front leg out of the way as it curves in late and trying to whip it through midwicket. He's caught in front of middle stump on his back leg. Too good to sort that out first ball"
6,150,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,5,0,"Shaheen Shah Afridi to Kohli, no run",0,0,0,253802,Virat Kohli,0,1,1072470,Shaheen Shah Afridi,0.5,0,1,1,422108,KL Rahul,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length and rising in the corridor, left alone"
7,160,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,1,6,1,"Shaheen Shah Afridi to Kohli, 1 run",0,0,0,253802,Virat Kohli,1,2,1072470,Shaheen Shah Afridi,1,0,2,1,422108,KL Rahul,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"good length and just outside off, leans in and pushes with hard hands. Gets it off the inside half, bat turning, and a single at midwicket"
8,11010,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,2,1,1,"Imad Wasim to Kohli, 1 run",0,0,0,253802,Virat Kohli,2,3,227758,Imad Wasim,0.1,0,1,0,422108,KL Rahul,1,3,1072470,Shaheen Shah Afridi,1,0,2,1,0,0,0,0,0,0,0,"good length and curved into the pad, clipped with the angle to short fine"
9,11020,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,2,2,0,"Imad Wasim to Rahul, no run",0,0,0,422108,KL Rahul,1,4,227758,Imad Wasim,0.2,0,1,0,253802,Virat Kohli,2,3,1072470,Shaheen Shah Afridi,1,0,2,1,0,0,0,0,0,0,0,"full and just outside off, another arm ball, driven to extra cover"
10,11030,1273727,INDIA v PAK,INDIA,PAK,INDIA,1,2,3,1,"Imad Wasim to Rahul, 1 run",0,0,0,422108,KL Rahul,2,5,227758,Imad Wasim,0.3,0,2,0,253802,Virat Kohli,2,3,1072470,Shaheen Shah Afridi,1,0,2,1,0,0,0,0,0,0,0,"good length and floated in at leg stump, pushed through square leg off the back foot"
